SurveyResponseCode,Description
04bABIMEDM,"American Board of Internal Medicine - Endocrinology, Diabetes and Metabolism"
04bABIMGAS,American Board of Internal Medicine - Gastroenterology
04bABIMGM,American Board of Internal Medicine - Geriatric Medicine
04bABIMHEMA,American Board of Internal Medicine - Hematology
04bABIMHPM,American Board of Internal Medicine - Hospice and Palliative Medicine
04bABIMIC,American Board of Internal Medicine - Interventional Cardiology
04bABIMID,American Board of Internal Medicine - Infectious Disease
04bABIMIM,American Board of Internal Medicine - Internal Medicine
04bABIMMO,American Board of Internal Medicine - Medical Oncology
04bABIMNEPH,American Board of Internal Medicine - Nephrology
04bABIMPD,American Board of Internal Medicine - Pulmonary Disease
04bABIMRHEUM,American Board of Internal Medicine - Rheumatology
04bABIMSLEEP,American Board of Internal Medicine - Sleep Medicine
04bABIMSPORT,American Board of Internal Medicine - Sports Medicine
04bABIMTH,American Board of Internal Medicine - Transplant Hepatology
04bABMGCBG,American Board of Medical Genetics - Clinical Biochemical Genetics
04bABMGCC,American Board of Medical Genetics - Clinical Cytogenetics
04bABMGCG,American Board of Medical Genetics - Clinical Genetics (MD)
04bABMGCMG,American Board of Medical Genetics - Clinical Molecular Genetics
04bABMGMBG,American Board of Medical Genetics - Medical Biochemical Genetics
04bABMGMGP,American Board of Medical Genetics - Molecular Genetic Pathology
04bABNMNM,American Board of Nuclear Medicine - Nuclear Medicine
04bABNSNS,American Board of Neurological Surgery - Neurological Surgery
04bABOGCCM,American Board of Obstetrics and Gynecology - Critical Care Medicine
04bABOGFPMRS,American Board of Obstetrics and Gynecology - Female Pelvic Medicine and Reconstructive Surgery
04bABOGGO,American Board of Obstetrics and Gynecology - Gynecologic Oncology
04bABOGHPM,American Board of Obstetrics and Gynecology - Hospice and Palliative Medicine
04bABOGMFM,American Board of Obstetrics and Gynecology - Maternal and Fetal Medicine
04bABOGOBGYN,American Board of Obstetrics and Gynecology - Obstetrics and Gynecology
04bABOGREI,American Board of Obstetrics and Gynecology - Reproductive Endocrinology/Infertility
04bABONEURO,American Board of Otolaryngology - Neurotology
04bABOOPHTHA,American Board of Ophthalmology - Ophthalmology
04bABOOTOLAR,American Board of Otolaryngology - Otolaryngology
04bABOPO,American Board of Otolaryngology - Pediatric Otolaryngology
04bABOPSWHN,American Board of Otolaryngology - Plastic Surgery Within Head/Neck
04bABOSLEEP,American Board of Otolaryngology - Sleep Medicine
04bABOSOS,American Board of Orthopaedic Surgery - Orthopaedic Surgery
04bABOSOSM,American Board of Orthopaedic Surgery - Orthopaedic Sports Medicine
04bABOSSOTH,American Board of Orthopaedic Surgery - Surgery of the Hand
04bABPBBTM,American Board of Pathology - Blood Banking/Transfusion Medicine
04bABPCI,American Board of Pathology - Clinical Informatics
04bABPCYTO,American Board of Pathology - Cytopathology
04bABPDERMA,American Board of Pathology - Dermatopathology
04bABPEDAM,American Board of Pediatrics - Adolescent Medicine
04bABPEDCAP,American Board of Pediatrics - Child Abuse Pediatrics
04bABPEDDBP,American Board of Pediatrics - Developmental-Behavioral Pediatrics
04bABPEDHPM,American Board of Pediatrics - Hospice and Palliative Medicine
04bABPEDMT,American Board of Pediatrics - Medical Toxicology
04bABPEDND,American Board of Pediatrics - Neurodevelopmental Disabilities
04bABPEDNPM,American Board of Pediatrics - Neonatal-Perinatal Medicine
04bABPEDPC,American Board of Pediatrics - Pediatric Cardiology
04bABPEDPCCM,American Board of Pediatrics - Pediatric Critical Care Medicine
04bABPEDPE,American Board of Pediatrics - Pediatric Endocrinology
04bABPEDPED,American Board of Pediatrics - Pediatrics
04bABPEDPEM,American Board of Pediatrics - Pediatric Emergency Medicine
04bABPEDPG,American Board of Pediatrics - Pediatric Gastroenterology
04bABPEDPHO,American Board of Pediatrics - Pediatric Hematology-Oncology
04bABPEDPID,American Board of Pediatrics - Pediatric Infectious Diseases
04bABPEDPN,American Board of Pediatrics - Pediatric Nephrology
04bABPEDPP,American Board of Pediatrics - Pediatric Pulmonology
04bABPEDPR,American Board of Pediatrics - Pediatric Rheumatology
04bABPEDPTH,American Board of Pediatrics - Pediatric Transplant Hepatology
04bABPEDSLEE,American Board of Pediatrics - Sleep Medicine
04bABPEDSPOR,American Board of Pediatrics - Sports Medicine
04bABPMAM,American Board of Preventive Medicine - Aerospace Medicine
04bABPMCI,American Board of Preventive Medicine - Clinical Informatics
04bABPMMT,American Board of Preventive Medicine - Medical Toxicology
04bABPMOM,American Board of Preventive Medicine - Occupational Medicine
04bABPMPAIN,American Board of Pain Medicine - Pain Medicine
04bABPMPHGPM,American Board of Preventive Medicine - Public Health and General Preventive Medicine
04bABPMRBIM,American Board of Physical Medicine and Rehabilitation - Brain Injury Medicine
04bABPMRHPM,American Board of Physical Medicine and Rehabilitation - Hospice and Palliative Medicine
04bABPMRNM,American Board of Physical Medicine and Rehabilitation - Neuromuscular Medicine
04bABPMRPAIN,American Board of Physical Medicine and Rehabilitation - Pain Medicine
04bABPMRPMR,American Board of Physical Medicine and Rehabilitation - Physical Medicine and Rehabilitation
04bABPMRPRM,American Board of Physical Medicine and Rehabilitation - Pediatric Rehabilitation Medicine
04bABPMRSCIM,American Board of Physical Medicine and Rehabilitation - Spinal Cord Injury Medicine
04bABPMRSPOR,American Board of Physical Medicine and Rehabilitation - Sports Medicine
04bABPMUHM,American Board of Preventive Medicine - Undersea and Hyperbaric Medicine
04bABPNAP,American Board of Psychiatry and Neurology - Addiction Psychiatry
04bABPNBIM,American Board of Psychiatry and Neurology - Brain Injury Medicine
04bABPNCAP,American Board of Psychiatry and Neurology - Child and Adolescent Psychiatry
04bABPNCN,American Board of Psychiatry and Neurology - Clinical Neurophysiology
04bABPNEPIL,American Board of Psychiatry and Neurology - Epilepsy
04bABPNEUROP,American Board of Pathology - Neuropathology
04bABPNFP,American Board of Psychiatry and Neurology - Forensic Psychiatry
04bABPNGP,American Board of Psychiatry and Neurology - Geriatric Psychiatry
04bABPNHPM,American Board of Psychiatry and Neurology - Hospice and Palliative Medicine
04bABPNND,American Board of Psychiatry and Neurology - Neurodevelopmental Disabilities
04bABPNNEURO,American Board of Psychiatry and Neurology - Neurology
04bABPNNM,American Board of Psychiatry and Neurology - Neuromuscular Medicine
04bABPNNSQCN,American Board of Psychiatry and Neurology - Neurology with Special Qualification in Child Neurology
04bABPNPAIN,American Board of Psychiatry and Neurology - Pain Medicine
04bABPNPM,American Board of Psychiatry and Neurology - Psychosomatic Medicine
04bABPNPSYCH,American Board of Psychiatry and Neurology - Psychiatry
04bABPNSLEEP,American Board of Psychiatry and Neurology - Sleep Medicine
04bABPNVN,American Board of Psychiatry and Neurology - Vascular Neurology
04bABPPA,American Board of Pathology - Pathology - Anatomic
04bABPPAPC,American Board of Pathology - Pathology - Anatomic/Pathology- Clinical
04bABPPC,American Board of Pathology - Pathology - Clinical
04bABPPCHEM,American Board of Pathology - Pathology - Chemical
04bABPPFOREN,American Board of Pathology - Pathology - Forensic
04bABPPHEMA,American Board of Pathology - Pathology - Hematology
04bABPPMG,American Board of Pathology - Pathology - Molecular Genetic
04bABPPMM,American Board of Pathology - Pathology - Medical Microbiology
04bABPPPED,American Board of Pathology - Pathology - Pediatric
04bABPSPS,American Board of Plastic Surgery - Plastic Surgery
04bABPSPSHN,American Board of Plastic Surgery - Plastic Surgery Within Head/Neck
04bABPSSH,American Board of Plastic Surgery - Surgery of the Hand
04bABRDR,American Board of Radiology - Diagnostic Radiology
04bABRHPM,American Board of Radiology - Hospice and Palliative Medicine
04bABRMP,American Board of Radiology - Medical Physics
04bABRNEURO,American Board of Radiology - Neuroradiology
04bABRNR,American Board of Radiology - Nuclear Radiology
04bABRPR,American Board of Radiology - Pediatric Radiology
04bABRRO,American Board of Radiology - Radiation Oncology
04bABRVIR,American Board of Radiology - Vascular and Interventional Radiology
04bABSCGSO,American Board of Surgery - Complex General Surgical Oncology
04bABSHAND,American Board of Surgery - Surgery of the Hand
04bABSHPM,American Board of Surgery - Hospice and Palliative Medicine
04bABSMSLEEP,American Board of Sleep Medicine - Sleep Medicine
04bABSPS,American Board of Surgery - Pediatric Surgery
04bABSSCC,American Board of Surgery - Surgical Critical Care
04bABSSSPINE,American Board of Spine Surgery - Spine Surgery
04bABSSURG,American Board of Surgery - Surgery
04bABSVS,American Board of Surgery - Vascular Surgery
04bABTSCCS,American Board of Thoracic Surgery - Congenital Cardiac Surgery
04bABTSTCS,American Board of Thoracic Surgery - Thoracic and Cardiac Surgery
04bABUFPMRS,American Board of Urology - Female Pelvic Medicine and Reconstructive Surgery
04bABUPU,American Board of Urology - Pediatric Urology
04bABUURO,American Board of Urology - Urology
04bNONE,None
05PGTRAIN1,1 Year
05PGTRAIN2,2 Years
05PGTRAIN3,3 Years
05PGTRAIN4,4 Years
05PGTRAIN5,5 Years
05PGTRAIN6,6 Years
05PGTRAIN7,7 Years
05PGTRAIN8,8 Years
05PGTRAIN9,9+ Years
06AFRAMER,African American
06AFRICAN,African
06AKNATIVE,Alaskan Native
06AMERINDIAN,American Indian
06BLACK,Black
06CAMBODIAN,Cambodian
06CENTRAMER,Central American
06CHINESE,Chinese
06CUBAN,Cuban
06DECLINE,Decline to State
06EUROPEAN,European
06FIJIAN,Fijian
06FILIPINO,Filipino
06GUAMANIAN,Guamanian
06HAWAIIAN,Hawaiian
06INDIAN,Indian
06INDONESIAN,Indonesian
06JAPANESE,Japanese
06KOREAN,Korean
06LAOTIAN,Laotian/Hmong
06MALAYSIAN,Malaysian
06MEXICAN,Mexican
06MIDEASTERN,Middle Eastern
06NATAMERICA,Native American
06OTHER,Other (not listed)
06OTHERASIAN,Other Asian
06OTHERHISP,Other Hispanic
06OTHERPACIS,Other Pacific Islander
06PAKISTANI,Pakistani
06PUERTORICO,Puerto Rican
06SAMOAN,Samoan
06SINGAPORE,Singaporean
06SOUTHAMER,South American
06TAIWANESE,Taiwanese
06THAI,Thai
06TONGAN,Tongan
06VIETNAMESE,Vietnamese
06WHITE,White
07AFRICAN,African Languages
07AMERSIGN,American Sign Language
07AMHARIC,Amharic
07ARABIC,Arabic
07ARMENIAN,Armenian
07CANTONESE,Cantonese
07CROATIAN,Croatian
07DECLINE,Decline to state
07FIJIAN,Fijian
07FORMOSAN,Formosan (Amis)
07FRCREOLE,French Creole
07FRENCH,French
07GERMAN,German
07GREEK,Greek
07GUJARATI,Gujarati
07HEBREW,Hebrew
07HINDI,Hindi
07HMONG,Hmong
07HUNGARIAN,Hungarian
07ILOCANO,Ilocano
07INDONESIAN,Indonesian
07ITALIAN,Italian
07JAPANESE,Japanese
07KOREAN,Korean
07LAO,Lao
07MANDARIN,Mandarin
07MIEN,Mien
07MON-KHMER,Mon-Khmer (Cambodian)
07NAVAJO,Navajo
07NONE,None
07OTHER,Other (not listed)
07OTHERCHIN,Other Chinese
07OTHERNONEN,Other Non-English
07OTHERSIGN,Other Sign Language
07PANJABI,Panjabi (Punjabi)
07PERSIAN,Persian (Farsi)
07POLISH,Polish
07PORTUGUESE,Portuguese
07RUSSIAN,Russian
07SAMOAN,Samoan
07SCANDINAVI,Scandinavian Languages
07SERBIAN,Serbian
07SPANISH,Spanish
07SWAHILI,Swahili
07TAGALOG,Tagalog
07TELUGU,Telugu
07THAI,Thai
07TONGA,Tonga
07TURKISH,Turkish
07UKRAINIAN,Ukrainian
07URDU,Urdu
07VIETNAMESE,Vietnamese
07XIANG,Xiang Chinese
07YIDDISH,Yiddish
07YORUBA,Yoruba
08CULTURENO,Cultural Background - No
08CULTUREYES,Cultural Background - Yes
08FOREIGNNO,Foreign Language Proficiency - No
08FOREIGNYES,Foreign Language Proficiency - Yes
08GENDERNO,Gender - No
08GENDERYES,Gender - Yes
