LicenseID,SurveyID,PatientCarePrimaryZipCode,PatientCarePrimaryCountyCode,PatientCareSecondaryZipCode,PatientCareSecondaryCountyCode,TelemedicinePrimaryZipCode,TelemedicinePrimaryCountyCode,TelemedicineSecondaryZipCode,TelemedicineSecondaryCountyCode
935148,1000509,90027,19,,,90027,19,,
1994536,1000510,,,,,,,,
1098494,1000511,,,,,,,,
802685,1000512,94587,,,,94587,,,
515741,1000513,91107,19,,,91107,19,,
1163675,1000515,,,,,,,,
398858,1000516,93446,40,,,93446,40,,
1674528,1000517,94589,48,,,,,,
2790446,1000518,92270,33,,,,,,
1380937,1000519,40741,,,,,,,
718863,1000520,,,,,,,,
5991040,1000521,20852,59,,,,,,
5513297,1000522,,,,,78258,59,,
1353715,1000524,85718,,,,85718,,,
1389834,1000525,91942,37,,,92243,13,,
1162621,1000526,89502,59,,,89502,59,,
1090162,1000527,91006,19,,,91006,19,,
5431026,1000528,95035,43,,,95035,43,,
972283,1000529,95128,43,,,95128,43,,
1861794,1000530,,,,,,,,
2133876,1000531,90404,19,,,90265,19,,
1223350,1000532,,,,,,,,
1166548,1000534,94403,41,,,94403,41,,
2185165,1000535,94583,7,,,94583,7,,
5551583,1000536,,,,,,,,
1166302,1000538,81611,59,,,81611,59,,
1135639,1000539,93720,10,,,,,,
1385470,1000541,92120,37,,,92120,37,,
1439863,1000542,,,,,,,,
1090378,1000543,94564,7,,,94564,7,,
1051757,1000544,92821,,,,,,,
1677602,1000545,30005,59,,,,,,
512164,1000546,95121,43,,,95121,43,,
1021493,1000547,33805,,,,,,,
1677703,1000548,52242,59,,,52242,59,,
1098214,1000549,92694,30,,,92694,30,,
4940744,1000550,93036,56,93003,56,93036,56,91367,19
2081656,1000551,95128,43,,,,,,
689908,1000552,95642,3,,,95642,3,,
2131305,1000553,93003,56,,,,,,
5615368,1000554,92103,37,92037,37,,,,
2049340,1000555,91365,,,,91365,,,
5590047,1000556,90095,19,,,,,,
5214105,1000557,76504,,,,76504,,,
1482908,1000558,,,,,,,,
246392,1000559,90048,19,,,90048,19,,
1673170,1000560,29501,59,,,29501,59,,
5287206,1000561,93611,10,,,,,,
718960,1000562,92014,37,92123,37,92014,37,,
973998,1000563,94538,1,,,94587,1,,
1350335,1000564,95035,43,,,95035,43,,
5008805,1000566,13159,59,,,13159,59,,
1542389,1000567,,,,,,,,
666169,1000569,,,,,75219,,,
5656018,1000570,92324,36,92335,36,,,,
1951590,1000571,,,,,81623,59,,
1386269,1000572,,,,,,,,
1434041,1000574,94305,43,,,,,,
1134716,1000575,90095,19,91355,19,,,,
1543226,1000576,89133,59,,,,,,
5286697,1000577,94066,38,94110,38,,,,
2181701,1000578,96001,45,,,,,,
1222121,1000579,90027,19,,,,,,
2711949,1000580,93314,15,,,,,,
5583934,1000581,,,,,55344,59,,
2184085,1000582,38138,,93230,16,85281,,,
1997423,1000583,94901,21,,,,,,
1718792,1000584,,,,,75038,,,
2886422,1000585,92120,37,92123,37,,,,
1713866,1000586,95688,48,94589,28,94582,7,94582,48
1167317,1000587,94304,43,,,94304,43,,
1380810,1000588,92037,37,92103,37,,,,
1769675,1000589,,,,,,,,
379915,1000590,98405,,,,98405,,,
1546951,1000591,20190,59,,,20190,59,,
1483444,1000592,94109,38,,,,,,
2082438,1000593,95119,43,,,95119,43,,
1769967,1000594,64015,59,,,,,,
5682067,1000596,94143,38,,,,,,
1710827,1000597,90505,19,90503,19,,,,
2131607,1000598,,,,,,,,
1540170,1000599,95128,43,,,95128,43,,
2181474,1000600,92103,37,,,92103,37,,
2863120,1000601,95928,4,,,,,,
1482263,1000603,,3,,,,,,
1135653,1000604,93534,19,,,,,,
1674298,1000605,92373,36,,,92373,36,,
2777863,1000606,94553,,,,94553,,,
2182817,1000607,92866,30,,,,,,
1098377,1000608,94305,43,,,,,,
1956115,1000609,,,,,,,,
2895113,1000610,,,,,,,,
333843,1000611,95758,34,,,95758,34,,
1221601,1000612,92357,36,92882,33,,,,
5581997,1000613,94117,38,,,,,,
5573203,1000614,90027,19,91367,19,90027,19,91367,19
2180138,1000615,95815,34,,,95815,34,,
1480512,1000616,94720,1,,,94720,1,,
895462,1000617,,17,,,,,,
562716,1000618,92369,36,,,92620,30,,
494397,1000619,93710,10,,,93710,10,,
1318697,1000620,91108,19,,,,,,
5619321,1000621,94602,1,,,94602,1,,
2044036,1000622,,,,,,,,
767036,1000623,90024,19,,,90024,19,,
5585348,1000624,92103,37,92161,37,,,,
395243,1000625,93110,42,,,93110,42,,
5102485,1000626,94158,38,,,,,,
2842844,1000627,,28,,1,,,,
2243889,1000628,94553,7,,,94553,7,,
455197,1000629,94115,38,,,94904,21,,
2886153,1000630,91910,37,,,91910,37,,
5104284,1000631,,,,,04107,59,,
395571,1000632,,,,,,,,
2046438,1000633,94063,41,,,94063,41,,
2048456,1000634,91436,19,,,91355,19,,
1769376,1000635,85750,,,,,,,
1542963,1000636,94086,,95128,,94086,,95128,
1677227,1000638,96088,45,,,96088,45,,
1711420,1000639,85001,,,,,,,
5103942,1000640,95204,39,,,95204,39,,
1192403,1000641,85012,,,,,,,
1025836,1000642,92108,,,,,,,
767661,1000643,,,,,,,,
205625,1000644,53721,10,,,,,,
431292,1000645,94806,7,,,94542,1,,
1991522,1000646,,,,,,,,
1711861,1000647,99508,59,,,,,,
5619755,1000648,90033,19,,,,,,
5584449,1000649,94143,38,,,94143,38,,
1226211,1000650,94143,38,,,94143,38,,
2048712,1000651,92103,37,92037,37,,,,
1289501,1000652,91360,56,,,91360,56,,
5585842,1000653,91790,19,91741,19,,,91741,19
1711509,1000654,95008,43,95076,44,95008,43,95076,44
1359496,1000655,94143,38,,,,,,
2045814,1000656,,,,,,,,
2746409,1000657,20170,,,,,,,
1389379,1000658,,,,,,,,
2854311,1000659,90033,,,,,,,
5587977,1000660,94143,38,,,94143,38,,
5538070,1000661,92697,30,92697,30,92697,30,92697,30
1813436,1000662,91942,37,91942,37,91942,37,91942,37
1194626,1000663,94588,,,,94583,,,
762579,1000664,93654,10,93230,16,93662,10,,
1138033,1000665,,,,,,,,
1711827,1000666,94305,41,,,,,,
1387943,1000667,,,,,,,,
1195155,1000668,95405,49,,,,,,
376815,1000669,92120,37,,,,,,
5208482,1000670,55337,59,,,,,,
1354681,1000671,90033,19,,,90033,19,,
2844436,1000672,90048,19,90292,19,,,,
1674105,1000673,90241,19,,,,,,
5610040,1000675,95618,48,95867,48,,,95867,48
452631,1000676,91402,19,,,91768,19,,
1388055,1000677,38163,,,,,,,
206379,1000678,92660,30,92627,30,92660,30,92627,30
1381558,1000679,94015,41,,,94015,41,,
2181213,1000680,46530,59,,,,,,
1439076,1000681,91107,19,,,91107,19,,
2132481,1000683,,,,,,,,
1359888,1000684,33067,59,91344,19,,,,
2840071,1000685,90505,19,,,,,,
1713895,1000686,,,,,,,,
5603487,1000687,94305,43,,,,,,
689020,1000688,,,,,,,,
1676674,1000689,93230,16,,,93230,16,,
1311050,1000690,93063,56,,,93063,56,,
1432382,1000691,95128,43,95128,43,95128,43,95128,43
2817616,1000692,91402,19,,,91402,19,,
2243530,1000693,91767,19,91730,36,91767,19,91730,36
5456036,1000694,90220,19,,,90220,19,,
1713978,1000695,95825,34,95814,34,95825,34,95814,34
562935,1000696,,,,,,,,
495297,1000697,91767,19,91786,36,91767,19,91786,36
2874229,1000698,94706,1,,,94706,1,,
2082344,1000699,95119,43,,,95119,43,,
5584978,1000701,90095,19,,,90095,19,,
1636476,1000702,19104,,,,19096,,,
2779345,1000703,90044,19,,,90044,19,,
2842490,1000704,92663,30,92663,30,92663,30,,
5641887,1000705,95020,43,,,95020,43,,
1712100,1000706,92618,30,,,,,,
1713390,1000707,,1,,,,1,,
1483139,1000708,94806,7,94553,7,94806,7,94553,7
5567249,1000710,94110,38,,,,,,
1134510,1000711,94577,1,,,94577,1,,
719242,1000712,93401,40,,,93401,40,,
634224,1000713,58501,59,,,,,,
939343,1000714,,,,,,,,
2044479,1000715,94704,1,,,,,,
1163884,1000716,91910,37,,,,,,
471019,1000717,90605,19,92801,30,90605,19,,
1027654,1000718,95128,,,,,,,
2702489,1000719,92691,30,,,92691,30,,
5411873,1000720,92103,37,,,92103,37,,
5595986,1000721,95124,,94109,,,,,
1817245,1000722,,,,,,,,
2132213,1000723,93401,40,,,,,,
5544646,1000724,93445,40,,,93445,40,,
1718690,1000725,95823,34,,,95823,34,,
1312511,1000726,94551,1,,,94551,1,,
1223967,1000727,95687,48,,,95687,48,,
1995003,1000728,92868,30,,,92868,30,,
5411833,1000729,92102,37,,,92102,37,,
1388795,1000730,94143,38,,,,,,
1312016,1000731,94063,,,,94063,,,
2240334,1000732,95655,34,,,95655,34,,
5603711,1000733,95340,24,,,,,,
1312906,1000734,,,,,,,,
1380242,1000737,91390,19,,,,,,
1433770,1000738,91505,19,,,91505,19,,
2044553,1000740,,,,,,,,
1221233,1000741,90802,19,90210,19,90802,19,90210,19
5605479,1000742,90014,19,,,90014,19,,
5583331,1000743,93230,16,,,,,,
2186736,1000744,95966,4,95966,4,,,,
2046824,1000745,90822,19,,,90822,19,,
1433845,1000746,93294,54,,,93294,54,,
1098318,1000747,93105,42,93105,42,93105,42,93105,42
2246643,1000748,91740,19,,,91740,19,,
1543895,1000750,,,,,,,,
5066530,1000751,92105,37,92111,37,92105,37,92111,37
2869147,1000752,,19,,,,,,
5061274,1000753,92136,37,92107,37,92136,37,92107,37
1223749,1000754,92075,37,92126,37,92075,37,92126,37
