ID,SelectedAnswer,AB133SurveyQuestion_REF_Number,AB133SurveyAnswerCategory_REF_ID
650,American Indian,2,102
651,Native American,2,102
652,Alaskan Native,2,102
653,Asian Indian,2,103
654,Chinese,2,103
655,Cambodian,2,103
656,Filipino,2,103
657,Indonesian,2,103
658,Japanese,2,103
659,Korean,2,103
660,Laotian/Hmong,2,103
661,Malaysian,2,103
662,Pakistani,2,103
663,Singaporean,2,103
664,Taiwanese,2,103
665,Thai,2,103
666,Vietnamese,2,103
667,Other Asian,2,103
668,Black,2,104
669,African American,2,104
670,African,2,104
671,Middle Eastern,2,104
672,Fijian,2,105
673,Guamanian,2,105
674,Hawaiian,2,105
675,Samoan,2,105
676,Tongan,2,105
677,Other Pacific Islander,2,105
678,White/Caucasian,2,106
679,European,2,106
680,Other (not listed),2,106
681,Decline to State,2,106
682,United States Primary Practice Location,17,21
683,United States Secondary Practice Location,19,29
688,Pulmonology,10,39
689,Pulmonology,11,40
691,Not Applicable,11,40
692,Primary Practice Location Outside of the United States,17,21
693,Secondary Practice Location Outside of the United States,19,29
694,Skipped based on question 14's response.,16,107
695,Skipped based on question 14's response.,17,21
696,Skipped based on question 14's response.,19,29
